"filename", "language", "Python", "Ignore", "Ini", "Shell Script", "YAML", "Markdown", "Docker", "pip requirements", "JavaScript", "CSS", "XML", "JSON", "HTML", "CSV", "comment", "blank", "total"
"d:\IMDB\Licenta\client\src\components\StarsRating.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 10, 39
"d:\IMDB\Licenta\client\src\containers\AlbumDetails.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\IMDB\Licenta\client\src\containers\AlbumDetails.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 67, 0, 0, 0, 0, 0, 0, 9, 76
"d:\IMDB\Licenta\client\src\containers\Albums.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 5, 37
"d:\IMDB\Licenta\client\src\containers\AlbumsPage.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 6, 49
"d:\IMDB\Licenta\client\src\containers\ArtistDetails.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 72, 0, 0, 0, 0, 0, 0, 7, 79
"d:\IMDB\Licenta\client\src\containers\Artists.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 2, 20
"d:\IMDB\Licenta\client\src\containers\Artists.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 7, 40
"d:\IMDB\Licenta\client\src\containers\ArtistsPage.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 6, 47
"d:\IMDB\Licenta\client\src\containers\ForgotPassword.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 2, 11
"d:\IMDB\Licenta\client\src\containers\ForgotUsername.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 5, 50
"d:\IMDB\Licenta\client\src\containers\Greetings.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 5, 15
"d:\IMDB\Licenta\client\src\containers\Greetings.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 2, 15
"d:\IMDB\Licenta\client\src\containers\ImportPage.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 8, 60
